Heart_Rate,Skin_Conductivity,Hours_Worked,Stress_Level,Emails_Sent,Meetings_Attended
126,5.56,9,67,25,4
159,5.89,10,69,55,5
64,4.58,11,26,45,1
165,5.1,14,65,19,3
58,5.23,9,32,47,0
147,5.2,14,64,38,5
105,5.54,11,40,10,2
108,3.18,15,39,17,2
69,4.95,8,17,28,3
148,5.24,11,83,49,6
101,4,13,44,50,2
98,6.67,11,29,5,6
112,5.16,9,81,37,0
151,6.56,14,87,49,2
115,4.21,16,85,40,6
150,4.09,8,87,16,1
149,5.22,9,58,33,1
90,3.32,9,18,47,6
58,5.21,10,19,36,0
113,5.1,15,64,18,4
101,6.02,16,19,24,5
77,5.7,12,15,48,2
68,4.58,12,32,36,2
67,3.9,16,24,12,2
54,6.71,10,49,32,5
127,4.21,8,67,12,0
110,3.95,13,84,46,3
145,3.92,15,86,2,4
81,6.12,12,15,22,1
93,4.48,14,26,12,3
75,4.25,12,28,6,1
58,5.14,16,39,22,6
93,4.79,14,20,49,2
120,4.32,8,84,39,2
163,5.75,8,61,1,3
165,6.07,12,59,17,2
77,5.99,15,32,36,1
55,5.77,10,43,17,4
86,5.4,13,44,33,1
75,3.22,16,16,13,2
120,6.67,9,79,21,4
69,5.3,14,25,22,1
99,5.61,11,23,48,3
121,6.11,11,80,41,6
87,6.43,9,17,44,6
110,5.42,15,70,7,0
137,5.44,9,58,12,0
117,4.4,13,59,8,1
76,5.03,12,29,33,5
161,4.15,12,80,24,0
165,4.28,15,81,49,0
139,4.11,10,51,46,5
93,4.84,13,27,37,3
156,6.05,15,87,0,6
124,8.17,9,88,3,2
85,5.19,15,33,34,5
151,3.65,16,55,0,1
69,6.26,8,40,7,6
73,4.7,11,47,10,6
136,4.34,9,79,29,2
105,5.21,9,26,49,2
136,3.76,16,83,4,4
82,5.22,11,48,16,3
86,4.91,16,17,27,2
81,5.1,10,44,30,1
145,5.38,15,83,42,2
167,5.07,9,81,5,4
53,5.02,14,42,8,0
117,5.28,12,74,28,0
79,5.42,10,41,22,0
137,3.97,8,79,15,2
56,3.57,15,24,15,5
53,4.94,15,38,6,6
112,3.57,9,67,14,1
105,5.09,15,39,47,3
106,5.94,13,27,41,3
58,5.61,16,16,39,3
72,3.95,16,35,16,1
118,4.14,16,52,18,0
88,5.33,12,48,50,1
96,4.6,16,30,17,5
139,4.68,9,78,13,6
93,5.6,15,34,24,4
53,4.01,11,18,10,5
59,4.6,9,48,5,1
157,4.2,16,88,46,0
143,3.96,16,88,14,5
124,4.14,11,88,21,0
111,5.68,10,58,43,1
102,5.05,9,30,2,4
73,4.12,12,24,39,5
72,4.77,8,21,1,1
96,3.36,11,48,46,6
169,4.27,16,58,35,3
137,7.15,9,58,31,6
146,4.91,12,80,38,3
95,5.73,8,41,0,2
50,4.93,11,33,18,3
85,5.35,11,45,44,1
122,5.66,14,62,23,5
141,3.9,14,88,22,4
162,4.97,9,74,26,1
80,6.58,13,37,18,0
50,4.2,15,43,36,4
79,4.43,16,17,4,1
81,4.69,14,45,48,6
69,5.27,8,33,19,4
104,5.52,11,42,45,1
125,6.27,11,73,13,3
50,5.5,10,48,26,2
67,4.94,16,22,32,3
90,6.26,14,28,38,0
126,5.7,11,54,7,5
134,3.5,8,76,28,4
112,7.53,13,55,29,6
112,6.77,11,82,5,6
93,4.83,15,32,43,2
111,5.38,9,84,47,6
54,6.32,11,17,37,5
123,4.83,9,56,4,5
122,5.73,10,72,50,1
74,6.1,14,47,15,5
82,3.99,14,38,32,2
122,4.4,8,76,44,4
51,5.92,14,21,12,6
164,5.46,12,56,18,4
64,5.92,15,39,41,2
146,4.87,13,65,48,5
140,4.71,15,58,27,0
74,3,12,28,0,4
134,3.85,10,83,36,1
135,5.05,16,62,17,2
52,5.82,11,32,34,3
58,5.53,9,48,7,2
145,4.87,14,71,21,2
166,4.73,11,67,1,1
138,5.22,16,84,37,1
59,5.08,9,26,40,0
66,6.4,10,35,14,0
61,5.15,9,37,47,6
129,3.52,15,68,26,5
127,3.73,12,73,33,3
158,6.52,10,67,17,6
109,3.83,14,35,27,0
108,5.76,15,28,45,6
63,4.73,10,49,41,6
57,4.83,11,47,12,2
71,4.87,8,15,23,5
53,6.22,11,38,23,6
162,4.81,14,54,21,2
148,4.97,9,77,1,5
152,3.47,14,53,26,4
117,5.21,11,51,18,1
70,5.53,13,27,26,2
59,5.24,14,29,26,1
147,6.4,13,81,10,4
78,5.06,11,23,44,3
163,5.3,13,57,4,1
130,6.65,10,51,25,0
146,3.45,11,54,19,0
150,4.54,14,88,44,6
114,6.43,13,84,33,4
55,5.94,8,32,42,3
86,5.68,9,34,22,5
106,5.83,13,28,17,1
